group,uniqueAbbrv,name,ra,dec,size(m),scale,angleDeg(N right of vert),imageName
Messier Objects,M1,Crab Nebula (M1),05h34m32.53s,+22d00m54.87s,1.436128E14,0.87,+0.0,M1.jpg
Messier Objects,M8,Lagoon Nebula (M8),18h03m40.44s,-24d22m32.15s,7.575575E13,0.74,+55.6,M8.jpg
Messier Objects,M16,Pillars of Creation (M16),18h18m52.72s,-13d50m21.97s,1.626415E14,0.58,-35.0,M16.jpg
Messier Objects,M17,Omega/Swan Nebula (M17),18h20m34.37s,-16d09m23.70s,1.274564E14,0.58,-93.0,M17.jpg
Messier Objects,M20,Trifid Nebula (M20),18h02m28.65s,-23d04m27.03s,9.334832E13,0.54,-44.9,M20.jpg
Messier Objects,M27,Dumbbell Nebula (M27),19h59m32.20s,+22d42m43.13s,4.451997E13,0.57,+14.1,M27.jpg
Messier Objects,M31,Andromeda Galaxy (M31),00h43m43.78s,+41d23m08.92s,1.180497E15,0.50,+125.0,M31.jpg
Messier Objects,M42,Orion Nebula (M42),05h35m09.73s,-05d24m50.32s,1.078173E15,0.50,+0.0,M42.jpg
Messier Objects,M45,Pleiades (M45),03h46m50.98s,+24d09m12.79s,1.112999E15,0.95,+0.0,M45.jpg
Messier Objects,M51,Whirlpool Galaxy (M51),13h29m52.34s,+47d12m47.43s,2.383972E14,0.50,+91.9,M51.jpg
Messier Objects,M57,Ring Nebula (M57),18h53m35.21s,+33d01m44.13s,7.539672E13,0.55,-11.7,M57.jpg
Messier Objects,M63,Messier 63,13h15m50.09s,+42d01m39.01s,6.139447E13,0.50,+11.6,M63.jpg
Messier Objects,M64,Black Eye Galaxy (M64),12h56m43.34s,+21d41m02.35s,5.349577E13,0.58,+155.4,M64.jpg
Messier Objects,M76,Little Dumbbell Nebula (M76),01h42m19.75s,+51d34m30.86s,1.134541E14,0.50,+19.1,M76.jpg
Messier Objects,M82,Cigar Galaxy (M82),09h55m55.00s,+69d40m54.17s,2.215227E14,0.50,-50.1,M82.jpg
Messier Objects,M83,Southern Pinwheel Galaxy (M83),13h37m00.37s,-29d51m47.48s,1.755666E14,0.50,+84.7,M83.jpg
Messier Objects,M87,Messier 87,12h30m49.42s,+12d23m28.04s,3.590320E11,3.00,+0.0,M87.jpg
JWST Images,JWSTHelixNIRCam,Helix Nebula,22h29m24.40s,-20d52m19.26s,1.511525E14,0.50,+63.6,JWSTHelixNIRCam.jpg
JWST Images,JWSTM16,Pillars of Creation (M16),18h18m55.18s,-13d51m06.26s,2.620934E14,0.56,+2.6,JWSTM16.jpg
JWST Images,JWSTNGC1333,NGC 1333,03h28m59.76s,+31d19m35.04s,1.310467E14,0.50,-18.8,JWSTNGC1333.jpg
JWST Images,JWSTStephan,Stephan's Quintet,22h36m01.47s,+33d57m34.87s,1.349960E14,0.53,+63.0,JWSTStephan.jpg
JWST Images,JWSTSouthernRing,Southern Ring Nebula,10h07m01.69s,-40d26m11.16s,8.078220E13,0.50,+112.0,JWSTSouthernRing.jpg
JWST Images,JWSTCarina,Carina Nebula,10h36m51.03s,-58d37m12.06s,1.515115E14,0.56,+103.0,JWSTCarina.jpg
JWST Images,JWSTNGC604,NGC 604,01h34m33.94s,+30d46m57.12s,6.318963E13,0.53,+65.3,JWSTNGC604.jpg
JWST Images,JWSTDustyDisc,Dusty Disc,04h33m16.60s,+22d53m21.98s,1.543838E13,0.50,+83.9,JWSTDustyDisc.jpg
JWST Images,JWSTHH30,HH 30,04h31m37.49s,+18d12m24.03s,6.103544E12,0.50,+33.4,JWSTHH30.jpg
VISTA Images,VISTAHelix,Helix Nebula,22h29m39.01s,-20d50m22.00s,1.346729E15,0.50,+0.0,VISTAHelix.jpg
VLT Images,Virgin,Eyes Galaxies,12h27m45.67s,+13d00m31.02s,2.261902E14,0.50,+120.0,virgin.jpg